uid	dataid	image	label
i0000	0	TrainingBatch1/volume-0.nii	TrainingBatch1/comp-0.nii
i0001	1	TrainingBatch1/volume-1.nii	TrainingBatch1/comp-1.nii
i0002	2	TrainingBatch1/volume-2.nii	TrainingBatch1/comp-2.nii
i0003	3	TrainingBatch1/volume-3.nii	TrainingBatch1/comp-3.nii
i0004	4	TrainingBatch1/volume-4.nii	TrainingBatch1/comp-4.nii
i0005	5	TrainingBatch1/volume-5.nii	TrainingBatch1/comp-5.nii
i0006	6	TrainingBatch1/volume-6.nii	TrainingBatch1/comp-6.nii
i0007	7	TrainingBatch1/volume-7.nii	TrainingBatch1/comp-7.nii
i0008	8	TrainingBatch1/volume-8.nii	TrainingBatch1/comp-8.nii
i0009	9	TrainingBatch1/volume-9.nii	TrainingBatch1/comp-9.nii
i0010	10	TrainingBatch1/volume-10.nii	TrainingBatch1/comp-10.nii
i0011	11	TrainingBatch1/volume-11.nii	TrainingBatch1/comp-11.nii
i0012	12	TrainingBatch1/volume-12.nii	TrainingBatch1/comp-12.nii
i0013	13	TrainingBatch1/volume-13.nii	TrainingBatch1/comp-13.nii
i0014	14	TrainingBatch1/volume-14.nii	TrainingBatch1/comp-14.nii
i0015	15	TrainingBatch1/volume-15.nii	TrainingBatch1/comp-15.nii
i0016	16	TrainingBatch1/volume-16.nii	TrainingBatch1/comp-16.nii
i0017	17	TrainingBatch1/volume-17.nii	TrainingBatch1/comp-17.nii
i0018	18	TrainingBatch1/volume-18.nii	TrainingBatch1/comp-18.nii
i0019	19	TrainingBatch1/volume-19.nii	TrainingBatch1/comp-19.nii
i0020	20	TrainingBatch1/volume-20.nii	TrainingBatch1/comp-20.nii
i0021	21	TrainingBatch1/volume-21.nii	TrainingBatch1/comp-21.nii
i0022	22	TrainingBatch1/volume-22.nii	TrainingBatch1/comp-22.nii
i0023	23	TrainingBatch1/volume-23.nii	TrainingBatch1/comp-23.nii
i0024	24	TrainingBatch1/volume-24.nii	TrainingBatch1/comp-24.nii
i0025	25	TrainingBatch1/volume-25.nii	TrainingBatch1/comp-25.nii
i0026	26	TrainingBatch1/volume-26.nii	TrainingBatch1/comp-26.nii
i0027	27	TrainingBatch1/volume-27.nii	TrainingBatch1/comp-27.nii
i0028	28	TrainingBatch2/volume-28.nii	TrainingBatch2/comp-28.nii
i0029	29	TrainingBatch2/volume-29.nii	TrainingBatch2/comp-29.nii
i0030	30	TrainingBatch2/volume-30.nii	TrainingBatch2/comp-30.nii
i0031	31	TrainingBatch2/volume-31.nii	TrainingBatch2/comp-31.nii
i0032	32	TrainingBatch2/volume-32.nii	TrainingBatch2/comp-32.nii
i0033	33	TrainingBatch2/volume-33.nii	TrainingBatch2/comp-33.nii
i0034	34	TrainingBatch2/volume-34.nii	TrainingBatch2/comp-34.nii
i0035	35	TrainingBatch2/volume-35.nii	TrainingBatch2/comp-35.nii
i0036	36	TrainingBatch2/volume-36.nii	TrainingBatch2/comp-36.nii
i0037	37	TrainingBatch2/volume-37.nii	TrainingBatch2/comp-37.nii
i0038	38	TrainingBatch2/volume-38.nii	TrainingBatch2/comp-38.nii
i0039	39	TrainingBatch2/volume-39.nii	TrainingBatch2/comp-39.nii
i0040	40	TrainingBatch2/volume-40.nii	TrainingBatch2/comp-40.nii
i0041	41	TrainingBatch2/volume-41.nii	TrainingBatch2/comp-41.nii
i0042	42	TrainingBatch2/volume-42.nii	TrainingBatch2/comp-42.nii
i0043	43	TrainingBatch2/volume-43.nii	TrainingBatch2/comp-43.nii
i0044	44	TrainingBatch2/volume-44.nii	TrainingBatch2/comp-44.nii
i0045	45	TrainingBatch2/volume-45.nii	TrainingBatch2/comp-45.nii
i0046	46	TrainingBatch2/volume-46.nii	TrainingBatch2/comp-46.nii
i0047	47	TrainingBatch2/volume-47.nii	TrainingBatch2/comp-47.nii
i0048	48	TrainingBatch2/volume-48.nii	TrainingBatch2/comp-48.nii
i0049	49	TrainingBatch2/volume-49.nii	TrainingBatch2/comp-49.nii
i0050	50	TrainingBatch2/volume-50.nii	TrainingBatch2/comp-50.nii
i0051	51	TrainingBatch2/volume-51.nii	TrainingBatch2/comp-51.nii
i0052	52	TrainingBatch2/volume-52.nii	TrainingBatch2/comp-52.nii
i0053	53	TrainingBatch2/volume-53.nii	TrainingBatch2/comp-53.nii
i0054	54	TrainingBatch2/volume-54.nii	TrainingBatch2/comp-54.nii
i0055	55	TrainingBatch2/volume-55.nii	TrainingBatch2/comp-55.nii
i0056	56	TrainingBatch2/volume-56.nii	TrainingBatch2/comp-56.nii
i0057	57	TrainingBatch2/volume-57.nii	TrainingBatch2/comp-57.nii
i0058	58	TrainingBatch2/volume-58.nii	TrainingBatch2/comp-58.nii
i0059	59	TrainingBatch2/volume-59.nii	TrainingBatch2/comp-59.nii
i0060	60	TrainingBatch2/volume-60.nii	TrainingBatch2/comp-60.nii
i0061	61	TrainingBatch2/volume-61.nii	TrainingBatch2/comp-61.nii
i0062	62	TrainingBatch2/volume-62.nii	TrainingBatch2/comp-62.nii
i0063	63	TrainingBatch2/volume-63.nii	TrainingBatch2/comp-63.nii
i0064	64	TrainingBatch2/volume-64.nii	TrainingBatch2/comp-64.nii
i0065	65	TrainingBatch2/volume-65.nii	TrainingBatch2/comp-65.nii
i0066	66	TrainingBatch2/volume-66.nii	TrainingBatch2/comp-66.nii
i0067	67	TrainingBatch2/volume-67.nii	TrainingBatch2/comp-67.nii
